첵제목,작가명,내용요약
한국관광정책(Korea Tourism Policy) 2019 봄호 (통권 75호),,보통 관광산업이 주민의 일상 영역까지 확대돼 지역경제에 미치는 파급력은 높지만 이런 산업이 외부자본에 심하게 의존하면 지역 내 관광수익이 외부로 유출돼 지역경제 파급력은 준다는 것도 고려해야 한다.
창조 행정을 지향하는 행정포커스,,이몽룡의 출도 장면과 달리 실제 조선시대 암행어사는 수령을 파직할 권한이 없었다. 암행어사가 보고서를 제출하면 정부가 프로세스에 따라 파직하는 수순이었다. 또한 젊은 인재인 암행어사가 자신보다 품계가 높은 관료를 압도할 처지에 있지 못했다. 이처럼 조선의 행정제도는 감성적이지 않고 냉철했다.
2015 개정 교육과정에 따른 초·중학교 실과/기술·가정과 평가기준 개발 연구,한국교육과정평가원,"본 연구는 실과(기술․가정) 교육과정과 학생의 특성에 따라 2015 개정 교육과정에 따른 실과(기술․가정)의 성취기준·성취수준 개발 논리, 유형·범위 등을 한정하고 기본방향을 설정했다."
직업 및 소득 계층의 세대 간 이전에 관한 연구,,본 연구는 자녀가 결정할 수 없는 부모배경이 자녀의 경제적 성과에 어떤 영향을 미치는지 분석하기 위해 사전적 기회불균등을 측정한다.
NCS를 활용한 공공기관의 직무역량모델 개발 : 2개 공공기관의 사례,,"NCS상 직무분류를 추가·개발해야 한다. 이를 통해 6대 발전사가 동일하게 NCS를 도입할 수 있다. 이는 시간·비용이 들지만, 기관에서 적은 노력으로 NCS를 도입할 수 있다."
특허침해로 인한 손해배상액의 산정,박성수,"특허법상의 손해배상액산정규정은 1990년 개정 법률의 경우, 시행 전에 한 특허출원에 관한 심사나 거절사정에 관한 항고심판은 종전의 규정에 의한다고 규정하고 특허권의 출원시점과는 관계없이 손해배상청구의 시점을 기준으로 적용범위를 정하고 있음이 분명하고, 2001년 개정 법률은 시행 당시 종전의 규정에 의하여 제출된 특허출원에 대한 소송이 손해배상청구소송을 포함하는 것인지 특허출원에 관한 심사, 특허등록, 특허권, 특허이의신청, 심판에 관한 소송 심결취소소송만을 의미하는 것인지 불분명하다. "
유통기업의 가격설정능력과 전자상거래의 효과: 도서유통시장 사례를 중심으로,,도서정가제는 경제적 효율성만 따지면 안 된다. 도서출판물은 이윤추구보다 문화현상의 산물이라 인기만으로 시장이 편성되면 문화의 다양성보존에 손상을 입는다. 이 연구는 정가제 역할 및 경제효과에 집중한다.
방송통신위원회 중장기 협업체계 발전방안 연구,,"문화체육관광부는 컨텐츠 산업을 국민 소득 3만불 시대를 견인하는 창조 경제의 중심 과제로 하였다. 이를 위해 5대 전략및 그 추진과제, 세부과제를 설정하였다."
바이오 분야 규제형성과정 개선방안,,Red tape을 없애고 규제비용의 조정을 목적으로 도입된 OIOO은 규제를 도입 이후 기존 규제를 완화하는 방식으로 운영된다. 또한 각 부처들은 투입 이상의 산출을 얻어야 하며 정책의 허가 이전에 필수적으로 독립적인 비용검증을 받아야 한다.
미래 인재 양성을 위한 핵심역량 교육 및 혁신적 학습생태계 구축(Ⅱ),,미림고는 12명의 우수학생에게 영국 WKC에서 3개월 간 현장학습을 받고 영국 정부 공인 BTEC level 3의 자격증을 취득할 수 있도록 지원하고 있다.
KDI 북한경제리뷰 2014년 10월,,"청 부주임은 북중관계의 미래가 불투명하다고 분석했으며, 북한은 관계 운영에 있어 소요되는 비용과 이익을 신중하게 계산해야 할 필요가 있다고 강조했다. 이러한 견해는 심상치않은 북중관계의 현실을 말해준다."
잔류동물용의약품 분석법 실무 해설서,,"용출 용매의 최적화는 미세한 조절로 분석성분과 방해물질 간 분리를 최대화할 수 있는데, 용출 가능 용매와 용출 불가능 용매 2종을 선정해 여러가지 조성의 혼합액을 구성해 조건에 따른 변화를 통해 최적의 조성을 찾아낸다."
국내 항만위험물 안전관리체계 개선방안,김우선,환경부와 해수부의 항만 내 유해화학물질 관리 현황을 살펴본 결과 야적장 보관의 경우 안전 관리 공백이 예상되므로 이를 완화할 법 제도 개선이 시급하다.
국제공동제작에 관한 연구,김혜준,"영상물의 수요를 결정짓는 것은 시장규모로 미국이 영상물의 국제교역에서 우위인 것도, 영국과 호주산 영상물의 성공 가능성이 큰 것도 영어권 시장의 규모로 설명될 수 있다."
북미정상선언 이후 한반도 평화번영 구상 실현 방안,통일연구원,"셋째, 9. 19 공동성명(2005)에서 규정된 비핵화와 한반도 평화체제 전환의 '국제적 연계'방식이다.  이 때 평화포럼의 출범도 결정되었으나 출범하지 못했으며, 공동성명 역시 무효화되었다."
아시아 영화산업 현황과 지역내 협력방안 연구,김혜준,도쿄에 30-40개의 미니 씨어터 단관 극장은 일본 독립영화 발전에 중요한 역할을 해왔다. 그러나 더 많은 영화관에서 상영될 수 있도록 독립영화들을 위한 개선책이 필요하다. 이런 의미에서 시네마 콤플렉스 붐은 의의가 있다.
한국의 교육지표·지수 개발 연구(III): 대학생역량지수 개발 연구,,한국의 과잉학력은 OECD 중 가장 높으며 이는 공급과잉과 취업난을 심각화하고 있다. 대졸자 취업률이 계속하여 악화되는 것에서 이를 알 수 있다.
형사법의 신동향 통권 제49호 2. 압수수색상 관련성의 실무상 문제점(전승수),,압수물이 해당 사건과 관련이 있는가 하는 것이 그것이 법을 위반하지 않고 수집된 증거로서 증거능력을 갖는가를 결정하는 중요한 심사기준이 되고 있다.
국제노동브리프 2015년 5월호(Vol.13. No.5),,"TPAS는 퇴직 시기의 사람들에게 정부의 현명한 연금 서비스 제공에 관여하여, 미리 예약을 한 사람에게만 안내를 제공하고, 그렇지 않은 이상 공식 서비스에서는 전화하지 않는다. "
기후변화 홍수재해 대응을 위한 복원력 제고방안 연구Ⅰ : 복원력 평가방법 개발 및 적용,"한우석, 하수정, 남기찬, 이상은, 홍사흠, 유진욱, 조은주","A 지자체는 종합적인 복원력강화를 위해, 미흡한 부분을 먼저 보완해야 하다. 재난관리 점검결과에 따르면 최근 3년간 연평균 실적은 15%미만으로 매우 부족한 것으로 나타났다. 복구를 위한 예산 확보와 계획 수립 등을 원활하게 해야한다."
한국과 독일 금형산업의 노동시장과 숙련형성 비교연구,,"랩을 공작물에 압박하여 밀음으로써 표면의 돌출된 부 분이나 부스러기를 제거하여 가장 매끄러운 단계까지 가공할 수 있는 정밀입자 가공법인 래핑과 숫돌을 지지봉의 끝에 붙여서 구멍 속에 넣고 구멍의 가장자리를 회전이나 왕복운동을 통해 다듬질하는 가공법인 호닝, 금형의 조립분해 등과 같은 마무리 공정은 시간이 많이 걸리고 제품의 품질을 좌우하는 중요한 공정으로써 자동화가 어렵기 때문에 숙련공의 손으로 작업이 이루어진다. 마무리 단계에서 중요한 요소는 시간과 최종 금형면의 품질이다."
인구구조 변화 및 지방소멸에 대응하는 지역고용정책 사례 연구,"강동우, 고영우, 김현지, 남수연, 전은하","제3차 기본계획은 기존의 미시적인 접근에서 종합적이고 구조적인 접근으로의 전환을 모색한다. 이에 따라 저출산 대책분야의 경우 청년 일자리․주거대책 강화 및 사각지대 해소 등에 초점을 맞추었고 고령사회 대책분야의 경우 국민․주택연금 확대 등 노후대비 강화, 실버경제와 같은 신성장동력 확충 등 구조적 대응을 강조한다."
"성희롱 규제 20년, 현재와 미래",한국여성정책연구원,"20세기 후반, 미국의 Lin Farley는 코넬 대학에서 여성과 일에 대해 강의하면서 성희롱이란 개념을 유형화했다. 이때부터 성희롱은 성차별의 한 유형으로 지목되었고, 이후 1986년에는 연방대법원에서 성희롱이 시민권법 위반임을 인정하고, 성희롱의 정의와 기준을 제시하였다. 그리고 1991년 미 시민권법에서는 위법하고 고의적인 차별행위인 성차별 또는 성희롱 피해에 대한 보상적 및 징벌적 손해배상을 연방법원에 청구할 권리가 명시되었다."
저출산 대책의 효과성 평가,이상협,"이 연구 결과는 출산장려금 같은 명시적 정책 외에도, 전반적인 사회복지 지출 규모,주택 및 전세가격등의 간접적 요인도 혼인율과 출산율의 중요한 결정 요인이라는 점을 시사한다. 정책이 효과를 보려면, 옳바른 방향으로 고찰이 필요하다."
독일통일 이후 동서독 주민 의식변화 분석 1990~2010,통일부,동서독 주민의 독일 통일에 대한 의견은 상이하다. 정신적 사회 분열은 여전히 존재하는 차별적인 삶의 상황에서뿐만 아니라 과거와 현재의 기대에서도 명백하게 드러난다.
클라우드컴퓨팅 환경에서 전자정보 압수수색의 문제점과 개선방향,이인곤,전자정보에 대해서는 직관적으로 범죄 관련성을 알 수 없고 데이터의 양도 방대할 수 있으며 클라우드 컴퓨팅처럼 정보의 물리적 소재지를 선별할 수 없기에 기존 '유체물에 기반한 영장의 특정성'은 디지털 환경의 특수성을 고려할 때 현실성이 부족하다.
학교생활기록부 기재방식 개선 방안,,교생활기록부 기재 방법에 대한 교사의 기술 능력과 관심의 차이와 단위학교별 교육활동의 차이로 학생들이  대학입시전형 평가 당락에서 많은 영향을 받을 수 있다. 따라서 실효성 있는 학교생활기록을 위해 대학의 입학사정관들이 일선 학교의 교사들에게 집합연수 또는 원격연수를 제공해야 할 것이다.
2018년도 문화재위원회 제9차 사적분과위원회 회의록,문화재청,1888년 복원된 표충사에 대한 관련 자료는 확실치 않다. 표충서원으로 바뀌었던 기록도 검증된 것은 아니며 중건된 사당도 원래의 모습이라고 보기는 어렵다.
감사 보고서,감사원,"감사원의 감사 결과, 수급권의 소멸시효가 임박했음에도 불구하고 사학연금공단 측에서는 상당수에게 제대로 된 안내를 하지 않고 있었다."
대졸자 취업능력 향상을 위한 대학교육 개선방안 마련,,"대학 내 취업 지원 센터의 기능을 체계화하고, 조직 강화, 인력 확보, 전문성 구축에 투자해야 한다. "
농업기술 : 2016.06 (vol.601),,"항생제 사용으로 인해 가축 생산성이 향상되었지만 국민의식 변화, 안전한 고품질 축산물에 대한 요구로 인해 항생제를 대신 할 생균제의 필요성이 더욱 부각되기 시작하였다."
미국영화산업백서,김형진,미국 대법원은 영화의 내용이 음란하다는 심증이 가더라도 사법적 절차에 따라 적법하게 발부된 영장에 의하지 않고 영화의 필름을 압수하거나 관계자들을 처벌하는 것은 위헌이라는 판결을 내렸다.
